"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.cdmass"
"1","Ambystoma_amblycephalum",1,3.88,2.6,66.5,2.18417752171208,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","amblycephalum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",0.0386105832827601
"2","Ambystoma_annulatum",2,3.37166666666667,2.24333333333333,82.6666666666667,2.13559679708487,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0190733632976387
"3","Ambystoma_bishopi",3,2.4925,1.6675,58,1.52183676454671,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","bishopi","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0515608133628853
"4","Ambystoma_californiense",4,4.97833333333333,3.55166666666667,106.666666666667,3.22010104843117,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.0636983572578043
"5","Ambystoma_dumerilii",5,NA,3.44333333333333,146.32,4.4109973154883,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","dumerilii","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.0392314402397976
"6","Ambystoma_gracile",6,5.36,4.06166666666667,84.3333333333333,2.2933024492182,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","gracile","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.218479196977982
"7","Ambystoma_granulosum",7,3.405,2.165,63,1.7099759466767,1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","granulosum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.0286888494126839
"8","Ambystoma_jeffersonianum",8,3.25833333333333,2.39,65.3333333333333,1.8261645700048,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","jeffersonianum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.0529370999509787
"9","Ambystoma_macrodactylum",9,3.91583333333333,2.6375,68,1.78744946118549,6,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.101824438098827
"10","Ambystoma_maculatum",10,3.97833333333333,2.54,79,2.10190550215159,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.0393879800547747
"11","Ambystoma_mexicanum",11,5.02333333333333,2.88833333333333,123,3.79084287529876,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.0724829906136161
"12","Ambystoma_opacum",12,3.73,2.81833333333333,67.6666666666667,1.84217075692956,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","opacum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.122050245708167
"13","Ambystoma_ordinarium",13,2.73,2.1,55,1.88238568417309,1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","ordinarium","yes","diurnal","aquatic","paedomorphic","free-living","lotic water",-0.0118631099475421
"14","Ambystoma_rosaceum",14,3.555,2.44,63,2.24612735373655,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","rosaceum","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",0.00307473281436177
"15","Ambystoma_talpoideum",15,2.895,1.92,46.5,1.29959012431625,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","talpoideum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.054562192577242
